0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Trial Activity,Run-in,Screening Period,,Treatment Period,,,,,,,,,,,,,Follow-up Period,
Week,,,,0,,1,,2,4,6,8,10,,,,12,,15
Day(s),,-28 to -6,-5 to -1,0,2,6,10,14,28,42,56,70,72,76,80,84,90,105
Allowed window for visit (days),,,,,,±1,±1,±1,±1,±2,±2,±2,,,±1,±2,±2,±2
Visits,Visit 0 Stabilization,Visit 1 Screening,Visit 1.1 Baseline,Visit 2 Baseline,V 2.1,V 2.2,V2.3,V 3,V 4,V 5,V 6,V 7,V 7.1,V 7.2,V7.3,V 8 (EoT Visit),V 8.1,V 9 (Safety Follow-up Visit)
Informed consent,•,•a,,,,,,,,,,,,,,,,
Inclusion/exclusion criteria,,•,,•,,,,,,,,,,,,,,
Stable conventional treatment,•,•,•,•,,,,•,•,•,•,•,,,,•,,•
"HIV,  HBV,  HCV,  EBV,  CMV test",,•,,,,,,,,,,,,,,,,
TB test,,•,,,,,,,,,,,,,,,,•
Randomisation,,,,•,,,,,,,,,,,,,,
Demographics,•,•,,,,,,,,,,,,,,,,
Alcohol and tobacco habits,,•,,,,,,,,,,,,,,,,
Medical and surgical history,,•,,,,,,,,,,,,,,,,
"UC medical history, confirmation  of  UC  diagnosis, and previous UC therapy",•,•,,,,,,,,,,,,,,,,
Urine screening for drugs of abuse,,•,,,,,,,,,,,,,,,,
Endoscopyb including biopsy sampling,,•c,,,,,,,,,,,,,,•,,
Diary dispensing,,•,•,•,,,,•,•,•,•,•,,,,,,
Diary reviewd,,,•,•,,,,•,•,•,•,•,,,,•,,
Efficacy  evaluation (full  Mayo score),,,,•,,,,,,,,,,,,•,,
Efficacy evaluation (9-point partial Mayo score),,,,•,,,,•,•,•,•,•,,,,•,,
Blood sampling for PK assessmentse,,,,•,•,•,•,•,•,•,•,•,•,•,•,•,•,•
Faeces sampling for calprotectin,,,,•,,,,,•,,•,,,,,•,,
Trial Activity,Run-in,Screening Period,,Treatment Period,,,,,,,,,,,,,Follow-up Period,
Week,,,,0,,1,,2,4,6,8,10,,,,12,,15
Day(s),,-28 to -6,-5 to -1,0,2,6,10,14,28,42,56,70,72,76,80,84,90,105
Allowed window for visit (days),,,,,,±1,±1,±1,±1,±2,±2,±2,,,±1,±2,±2,±2
Visits,Visit 0 Stabilization,Visit 1 Screening,Visit 1.1 Baseline,Visit 2 Baseline,V 2.1,V 2.2,V2.3,V 3,V 4,V 5,V 6,V 7,V 7.1,V 7.2,V7.3,V 8 (EoT Visit),V 8.1,V 9 (Safety Follow-up Visit)
Blood sampling for biomarkersf,,,,•,,,,,•,,•,,,,,•,,
Blood  sampling for  anti-TJ301 antibodies,,,,•,,,,•,•,,•,,,,,•,,•
Clinical laboratory testsg,,,•,,,,,•,•,•,•,•,,,,•,,•
Pregnancy testh,,,•,,,,,,,,,,,,,•,,•
Stool sample for  Clostridium difficile assay,,•,,,,,,,,,,,,,,,,
Physical examinationi,,•,•,,,,,,•,,•,,,,,•,,•
Vital signsj,,•,•,,,,,•,•,•,•,•,,,,•,,•
12-lead ECG,,,•,,,,,•,•,•,•,•,,,,•,,•
Concomitant medications documented,,•,•,•,,,,•,•,•,•,•,,,,•,,•
Adverse events documented,,,,•,,,,•,•,•,•,•,,,,•,,•
IMP administrationk,,,,•,,,,•,•,•,•,•,,,,,,
